customerID,tenure,MonthlyCharges,TotalCharges,Churn
7322-OCWHC,72,93.05,6735.05,No
9239-GZHZE,72,113.65,8124.20,No
5334-AFQJB,72,25.10,1789.90,No
4056-QHXHZ,72,107.45,7576.70,No
9339-FIIJL,72,85.95,6151.90,No
4967-WPNCF,72,63.70,4464.80,No
8197-BFWVU,72,93.25,6688.95,No
2266-SJNAT,72,109.15,7789.60,No
4277-BWBML,72,19.95,1322.85,No
9548-ZMVTX,72,90.45,6565.85,No
6650-BWFRT,72,117.15,8529.50,No
9802-CAQUT,72,109.55,7887.25,No
7602-MVRMB,72,110.45,8058.85,No
6585-WCEWR,72,20.35,1354.40,No
8735-SDUFN,72,24.30,1778.70,No
1926-QUZNN,72,25.25,1841.20,No
0784-ZQJZX,72,19.90,1529.65,No
3133-PZNSR,72,97.75,6991.60,No
8670-ERCJH,72,113.40,8164.10,No
0739-UUAJR,72,53.80,3952.45,No
8263-QMNTJ,72,115.55,8425.30,No
8237-ULIXL,72,24.85,1871.85,No
6384-VMJHP,72,73.00,5265.20,No
7730-CLDSV,72,98.65,7129.45,No
0164-APGRB,72,114.90,8496.70,No
9297-EONCV,72,91.35,6697.20,No
8454-AATJP,72,115.05,8405.00,No
5781-BKHOP,72,100.65,7334.05,No
8628-MFKAX,72,116.75,8277.05,No
3976-HXHCE,72,19.30,1414.80,No
4231-LZUYM,72,25.65,1887.00,No
0244-LGNFY,72,92.65,6733.00,No
9838-BFCQT,72,26.10,1851.45,No
0536-ACXIP,72,109.55,8165.10,No
5248-RPYWW,72,90.15,6716.45,No
7765-LWVVH,72,95.10,6843.15,No
0301-FIDRB,72,63.80,4684.30,No
9453-PATOS,72,85.10,6155.40,No
6176-YJWAS,72,97.95,7114.25,No
9443-JUBUO,72,65.25,4478.85,No
5598-IKHQQ,72,25.45,1866.45,No
6295-OSINB,72,109.65,7880.25,No
0238-WHBIQ,72,89.70,6339.30,No
5456-ITGIC,72,64.45,4641.10,No
5038-ETMLM,72,113.65,8182.75,No
8809-RIHDD,72,103.40,7372.65,Yes
8809-XKHMD,72,100.55,7325.10,No
8336-TAVKX,72,78.45,5682.25,No
1814-WFGVS,72,48.90,3527.00,No
5879-HMFFH,72,88.05,6520.80,No
3810-DVDQQ,72,117.60,8308.90,No
8853-TZDGH,72,111.60,8012.75,No
0464-WJTKO,72,20.10,1460.85,No
4900-MSOMT,72,80.20,5714.20,No
1335-HQMKX,72,101.35,7323.15,No
5766-FTRTS,72,84.45,6033.10,No
6285-FTQBF,72,25.55,1867.70,No
6719-FGEDO,72,97.00,7104.20,No
0917-EZOLA,72,104.15,7689.95,Yes
9430-NKQLY,72,25.10,1790.80,No
0378-CJKPV,72,112.10,7965.95,No
1053-MXTTK,72,108.65,7726.35,No
0853-TWRVK,72,105.60,7581.50,No
2560-QTSBS,72,23.30,1623.15,No
6479-VDGRK,72,85.30,6129.20,No
3569-JFODW,72,90.95,6652.45,No
3258-SYSWS,72,113.80,7845.80,No
5296-PSYVW,72,24.55,1750.70,No
7134-HBPBS,72,108.10,7774.05,No
2984-TBYKU,72,104.90,7732.65,No
9385-NXKDA,72,82.65,5919.35,No
9351-HXDMR,72,110.90,8240.85,No
6701-YVNQG,72,88.70,6301.70,No
9481-IEBZY,72,112.90,8061.50,No
9065-ZCPQX,72,78.85,5763.15,No
3786-WOVKF,72,106.85,7677.40,No
3886-CERTZ,72,109.25,8109.80,Yes
8015-IHCGW,72,115.50,8425.15,No
8749-TZYEC,72,24.80,1874.30,No
9861-PDSZP,72,108.05,7806.60,No
8915-NNTRC,72,107.70,7919.80,No
7463-IFMQU,72,20.05,1423.65,No
5884-FBCTL,72,25.10,1857.85,No
9823-EALYC,72,80.85,5727.45,No
5803-NQJZO,72,67.80,4804.65,No
2607-DHDAK,72,19.80,1414.65,No
4334-HOWRP,72,64.95,4546.00,No
0266-GMEAO,72,114.30,8058.55,No
8309-PPCED,72,110.45,7982.50,No
8152-VETUR,72,97.70,6869.70,No
7980-MHFLQ,72,24.90,1859.20,No
2235-EZAIK,72,79.20,5401.90,No
5214-NLTIT,72,90.80,6511.80,No
2190-PHBHR,72,94.45,6921.70,No
6904-JLBGY,72,117.35,8436.25,No
0769-MURVM,72,65.70,4575.35,No
7030-FZTFM,72,110.90,7922.75,No
0906-QVPMS,72,115.15,8349.45,No
1166-PQLGG,72,19.55,1463.45,No
0017-IUDMW,72,116.80,8456.75,No
9031-ZVQPT,72,108.20,7840.60,No
2990-IAJSV,72,92.00,6632.75,No
5451-YHYPW,72,115.75,8443.70,No
2121-JAFOM,72,115.55,8312.40,No
1227-UDMZR,72,91.15,6637.90,No
2167-FQSTQ,72,92.40,6786.10,No
8908-NMQTX,72,65.60,4566.50,No
3244-CQPHU,72,110.10,7746.70,No
7663-YJHSN,72,103.95,7556.90,No
2824-DXNKN,72,71.45,5025.85,No
9489-JMTTN,72,89.75,6595.90,No
6917-FIJHC,72,26.00,1776.00,No
5329-KRDTM,72,77.35,5396.25,No
8580-QVLOC,72,92.45,6440.25,Yes
4077-HWUYD,72,87.55,6463.15,No
4625-XMOYM,72,26.25,1988.05,No
5914-XRFQB,72,115.80,8424.90,No
6855-VLGOS,72,20.55,1432.55,No
8999-XXGNS,72,105.75,7629.85,No
7569-NMZYQ,72,118.75,8672.45,No
2889-FPWRM,72,117.80,8684.80,Yes
0626-QXNGV,72,24.15,1776.45,No
9499-XPZXM,72,64.75,4804.75,No
8513-OLYGY,72,115.80,8332.15,No
1820-DJFPH,72,24.05,1709.15,No
5172-RKOCB,72,108.95,7875.00,No
8218-FFJDS,72,86.40,6058.95,No
8024-XNAFQ,72,107.40,7748.75,No
0129-KPTWJ,72,94.65,6747.35,No
2192-CKRLV,72,49.20,3580.95,No
9298-WGMRW,72,115.50,8312.75,No
8544-JNBOX,72,20.80,1521.20,No
8224-KDLKN,72,25.00,1738.90,No
6749-UTDVX,72,103.65,7634.80,No
3892-NXAZG,72,114.05,8289.20,No
0988-AADSA,72,80.85,5824.75,No
2664-XJZNO,72,104.90,7559.55,No
3339-EAQNV,72,97.25,7133.10,No
8125-QPFJD,72,84.90,6065.30,No
5304-EFJLP,72,111.65,8022.85,No
8639-NHQEI,72,95.90,6954.15,No
8565-WUXZU,72,84.80,6141.65,No
0562-FGDCR,72,74.55,5430.65,No
2272-WUSPA,72,110.75,7751.70,No
4822-LPTYJ,72,103.75,7346.20,No
4827-DPADN,72,83.30,6042.70,No
5360-XGYAZ,72,65.65,4664.50,No
6928-ONTRW,72,19.70,1379.80,No
8774-GSBUN,72,25.40,1797.10,No
0254-FNMCI,72,109.90,7624.20,No
3262-EIDHV,72,84.70,5893.90,No
9070-BCKQP,72,110.15,7881.20,No
8092-NLTGF,72,24.75,1777.60,No
5727-MYATE,72,90.80,6397.60,No
7096-ZNBZI,72,26.45,1914.50,No
1676-MQAOA,72,75.10,5336.35,No
7566-DSRLQ,72,110.15,7998.80,No
1841-YSJGV,72,109.95,7852.40,No
3511-BFTJW,72,38.50,2763.00,No
5376-PCKNB,72,104.45,7459.00,No
5115-GZDEL,72,67.20,4671.70,No
7399-QHBJS,72,66.75,4760.30,No
9866-OCCKE,72,109.75,8075.35,No
9788-HNGUT,72,116.95,8594.40,No
7173-TETGO,72,78.50,5602.25,No
9488-FVZCC,72,79.50,5661.70,No
2725-TTRIQ,72,84.20,5986.55,No
5985-BEHZK,72,105.00,7578.05,No
0675-NCDYU,72,116.40,8543.25,No
2302-OUZXB,72,82.15,5784.30,No
3913-FCUUW,72,70.45,5165.70,No
5286-YHCVC,72,104.80,7470.10,No
0336-KXKFK,72,61.20,4390.25,No
5327-XOKKY,72,73.45,5329.00,No
1813-JYWTO,72,80.45,5737.60,No
0795-XCCTE,72,25.40,1809.35,No
6408-WHTEF,72,89.40,6376.55,No
5135-GRQJV,72,114.50,8331.95,No
4291-TPNFG,72,82.30,5980.55,No
6087-YPWHO,72,68.15,4808.70,No
8661-BOYNW,72,84.40,6096.45,No
1162-ECVII,72,109.75,7932.50,No
2419-FSORS,72,108.40,7719.50,No
0402-OAMEN,72,24.45,1709.10,No
9958-MEKUC,72,103.95,7517.70,No
5183-KLYEM,72,112.75,8192.60,No
5965-GGPRW,72,105.25,7609.75,No
8398-TBIYD,72,84.70,6185.15,No
7169-YWAMK,72,68.40,4855.35,No
2193-SFWQW,72,111.95,8033.10,No
0401-WDBXM,72,105.55,7542.25,No
4024-CSNBY,72,94.25,6849.75,No
9114-DPSIA,72,81.00,5750.00,No
3831-YCPUO,72,109.50,7854.90,No
9924-JPRMC,72,118.20,8547.15,No
8901-UPRHR,72,109.20,7711.45,No
2925-VDZHY,72,88.70,6501.35,No
4718-WXBGI,72,91.95,6614.90,No
1452-UZOSF,72,106.10,7548.60,No
6631-HMANX,72,85.45,6227.50,No
0665-XHDJU,72,99.40,7285.70,No
8265-HKSOW,72,107.45,7658.30,No
3544-FBCAS,72,83.60,5959.30,No
1027-LKKQQ,72,80.45,5886.85,No
1293-BSEUN,72,20.70,1482.30,No
6656-GULJQ,72,83.55,6093.30,No
7921-BEPCI,72,59.75,4265.00,No
3258-ZKPAI,72,116.60,8337.45,No
6519-ZHPXP,72,108.30,7679.65,No
0480-KYJVA,72,24.25,1784.50,No
6034-ZRYCV,72,54.20,3937.45,Yes
3518-FSTWG,72,109.55,7920.70,No
6166-YIPFO,72,64.70,4746.05,No
3938-YFPXD,72,84.30,5997.10,No
4909-JOUPP,72,109.70,7898.45,No
6437-UDQJM,72,84.10,6129.65,No
3967-KXAPS,72,92.30,6719.90,No
3704-IEAXF,72,53.65,3784.00,No
4670-TABXH,72,109.75,7758.90,No
8107-RZLNV,72,106.30,7565.35,No
2452-MRMZF,72,25.70,1937.40,No
2509-TFPJU,72,25.75,1864.20,No
2380-DAMQP,72,115.15,8349.70,No
9739-JLPQJ,72,117.50,8670.10,No
5893-KCLGT,72,19.75,1567.00,No
1320-GVNHT,72,108.40,7767.25,No
0270-THENM,72,69.85,5102.35,No
4707-MAXGU,72,25.85,1872.20,No
6976-BWGLQ,72,25.20,1787.35,No
1304-SEGFY,72,97.85,6841.30,No
2904-GGUAZ,72,84.05,6052.25,No
2314-TNDJQ,72,55.65,3880.05,No
8468-FZTOE,72,74.35,5237.40,No
2274-XUATA,72,63.10,4685.55,No
7203-OYKCT,72,104.95,7544.30,No
2569-WGERO,72,21.15,1419.40,No
2234-XADUH,72,103.20,7362.90,No
9959-WOFKT,71,106.70,7382.25,No
3841-NFECX,71,96.35,6766.95,No
9803-FTJCG,71,66.85,4748.70,No
2639-UGMAZ,71,56.45,3985.35,No
1131-QQZEB,71,23.95,1756.20,No
3363-DTIVD,71,105.55,7405.50,No
4443-EMBNA,71,24.75,1836.90,No
7014-ZZXAW,71,24.25,1732.95,No
6556-DBKZF,71,76.05,5436.45,No
3973-SKMLN,71,19.90,1355.10,No
6885-PKOAM,71,85.75,6223.80,No
9571-EDEBV,71,98.65,6962.85,No
4513-CXYIX,71,80.70,5676.00,No
5846-NEQVZ,71,70.85,4973.40,No
5781-RFZRP,71,73.50,5357.75,No
0795-LAFGP,71,90.40,6668.05,No
0114-IGABW,71,58.25,4145.90,No
5676-CFLYY,71,73.35,5154.50,No
2798-NYLMZ,71,108.55,7616.00,No
8975-SKGRX,71,116.10,8310.55,No
0835-JKADZ,71,111.25,7984.15,No
3261-CQXOL,71,25.45,1813.35,No
3429-IFLEM,71,77.35,5550.10,No
2834-JRTUA,71,108.05,7532.15,Yes
6614-YOLAC,71,58.65,4145.25,No
7649-SIJJF,71,80.10,5585.40,No
8146-QQKZH,71,81.85,5924.40,No
8659-IOOPU,71,100.45,7159.70,No
2176-LVPNX,71,89.85,6293.45,No
0831-JNISG,71,19.80,1396.25,No
4782-OSFXZ,71,82.70,5831.20,No
8089-UZWLX,71,104.05,7413.55,No
7005-CYUIL,71,99.40,7168.25,No
4565-NLZBV,71,24.65,1710.15,No
5678-VFNEQ,71,104.10,7412.25,No
8752-GHJFU,71,92.00,6585.20,No
2277-BKJKN,71,99.20,7213.75,No
7898-PDWQE,71,80.40,5727.15,No
1298-PHBTI,71,84.80,6152.40,No
9964-WBQDJ,71,24.40,1725.40,No
3669-WHAFY,71,115.15,8078.10,No
3144-KMTWZ,71,93.25,6669.45,No
5377-NDTOU,71,91.05,6293.75,No
5149-QYTTU,71,95.15,6770.85,No
3173-WSSUE,71,19.70,1415.85,No
3279-DYZQM,71,19.45,1378.45,No
8229-BUJHX,71,20.50,1500.95,No
0308-GIQJT,71,105.75,7382.85,No
7398-HPYZQ,71,90.55,6404.00,No
4872-JCVCA,71,47.60,3377.80,No
5248-KWLAR,71,90.35,6325.25,No
8984-HPEMB,71,118.65,8477.60,No
7375-WMVMT,71,95.50,6707.15,No
8879-XUAHX,71,116.25,8564.75,No
5003-XZWWO,71,84.20,5956.85,No
5494-WOZRZ,71,82.00,5999.85,No
8619-IJNDK,71,64.05,4492.90,No
7579-KKLOE,71,91.25,6589.60,No
3324-OIRTO,71,104.65,7288.40,No
6463-HHXJR,71,100.50,7030.65,No
0020-INWCK,71,95.75,6849.40,No
0730-BGQGF,71,90.30,6287.30,No
0013-SMEOE,71,109.70,7904.25,No
6161-ERDGD,71,85.45,6300.85,No
8231-BSWXX,71,79.05,5552.50,No
0310-SUCIN,71,84.80,6046.10,No
5406-KGRMX,71,24.55,1719.15,No
9668-PUGNU,71,24.50,1816.20,No
3612-YVGSJ,71,24.45,1681.60,No
3230-JCNZS,71,99.00,7061.65,No
9153-BTBVV,71,25.00,1753.00,No
1265-BCFEO,71,80.45,5662.25,No
5945-AZYHT,71,109.60,7854.15,No
8766-PAFNE,71,79.10,5564.85,No
6997-UVGOX,71,85.45,6029.90,No
6461-SZMCV,71,87.95,6365.35,No
2790-XUYMV,71,85.45,6028.95,No
6164-HAQTX,71,53.95,3888.65,No
9435-JMLSX,71,86.10,6045.90,No
4674-HGNUA,71,89.90,6457.15,No
7317-GGVPB,71,108.60,7690.90,Yes
5117-ZSMHQ,71,89.90,6342.70,No
5569-IDSEY,71,105.70,7472.15,No
3911-RSNHI,71,61.40,4310.35,No
5197-LQXXH,71,83.30,5894.50,No
2172-EJXVF,71,105.90,7521.95,No
3642-BYHDO,71,19.90,1389.35,No
3508-VLHCZ,71,90.55,6239.05,No
9028-LIHRP,71,100.20,7209.00,No
8200-LGKSR,71,83.20,6126.10,No
0670-ANMUU,71,97.65,6687.85,No
1591-XWLGB,71,19.85,1379.60,No
0174-QRVVY,71,25.35,1847.55,No
5699-BNCAS,71,24.65,1766.75,No
1545-JFUML,71,99.00,6994.60,No
7688-AWMDX,71,54.50,3778.20,No
2223-GDSHL,71,116.05,8297.50,No
2176-OSJUV,71,65.15,4681.75,No
6339-TBELP,71,86.40,6172.00,No
9365-CSLBQ,71,24.35,1654.60,No
3836-FZSDJ,71,24.85,1901.00,No
6559-ILWKJ,71,49.35,3515.25,Yes
2961-VNFKL,71,25.95,1801.90,No
7602-DBTOU,71,19.60,1416.50,No
7998-WNZEM,71,80.60,5708.20,No
5324-KTGCG,71,20.85,1539.75,No
5743-KHMNA,71,25.55,1898.10,No
2674-MLXMN,71,99.65,6951.15,No
2718-YSKCS,71,19.60,1387.45,No
5227-JSCFE,71,46.35,3353.40,No
5360-LJCNJ,71,105.15,7555.00,No
5322-TEUJK,71,114.60,8100.25,No
1866-DIOQZ,71,66.80,4689.15,No
0825-CPPQH,71,19.10,1372.45,No
2400-XIWIO,71,90.10,6310.90,No
9470-YFUYI,71,71.00,5012.10,No
1052-QJIBV,71,19.90,1397.30,No
1043-UXOVO,71,113.15,7993.30,No
3996-ZNWYK,71,19.80,1388.45,No
8760-ZRHKE,71,69.20,4982.50,No
9475-NNDGC,71,113.15,7953.25,No
7161-DFHUF,71,23.85,1672.10,No
0264-CNITK,71,20.10,1389.60,No
4973-MGTON,71,84.40,5969.30,No
1987-AUELQ,71,25.05,1873.70,No
5846-ABOBJ,71,24.45,1730.65,No
3528-HFRIQ,71,52.30,3765.05,No
2599-CIPQE,71,109.30,7782.85,No
6892-BOGQE,71,20.90,1493.20,No
0363-SVHYR,71,86.85,6263.80,No
9258-CNWAC,71,113.65,8166.80,No
3850-OKINF,71,66.20,4692.55,No
4119-ZYPZY,71,106.80,7623.20,No
2615-YVMYX,71,107.50,7713.55,No
9479-HYNYL,71,80.70,5705.05,No
0774-RMNUW,71,59.70,4122.65,No
6283-GITPX,71,76.90,5522.70,No
4043-MKDTV,71,105.25,7291.75,No
9715-WZCLW,71,97.20,6910.30,No
1696-HXOWK,71,95.65,6856.95,No
6726-NNFWD,71,89.45,6435.25,No
7472-EQOAV,71,86.70,6179.35,No
8029-XYPWT,71,115.05,8016.60,No
5287-QWLKY,71,105.10,7548.10,Yes
4817-KEQSP,71,19.85,1326.35,No
3407-JMJQQ,71,109.00,7661.80,No
1555-HAPSU,71,23.90,1663.50,No
2194-IIQOF,71,89.30,6388.65,No
1635-NZATJ,71,25.45,1789.65,No
0562-HKHML,71,23.90,1626.40,No
3779-OSWCF,71,93.20,6506.15,No
7110-BDTWG,71,47.05,3263.60,No
7711-GQBZC,71,24.70,1810.55,No
3726-TBHQT,71,114.00,8175.90,No
2530-ENDWQ,71,93.70,6585.35,Yes
6308-CQRBU,71,109.25,7707.70,No
0186-CAERR,71,116.30,8309.55,No
2169-RRLFW,71,25.60,1888.25,No
3259-FDWOY,71,106.00,7723.70,Yes
9558-IHEZX,71,106.75,7283.25,No
5702-KVQRD,71,82.55,5832.65,No
4086-WITJG,71,19.70,1301.10,No
8722-PRFDV,71,77.55,5574.35,No
6253-GNHWH,71,71.10,5224.95,No
6365-HITVU,71,87.25,6328.70,No
7471-MQPOS,71,72.90,5139.65,No
3508-CFVZL,71,111.30,7985.90,No
8065-QBYTO,71,99.65,7181.25,No
6257-DTAYD,71,104.15,7365.30,No
0218-QNVAS,71,100.55,7113.75,No
9489-DEDVP,70,69.20,4872.35,No
1679-JRFBR,70,108.15,7930.55,No
8966-SNIZF,70,19.45,1303.50,No
4686-GEFRM,70,98.70,6858.90,No
2996-XAUVF,70,40.05,2799.75,No
0505-SPOOW,70,19.80,1397.65,No
3957-HHLMR,70,65.20,4543.15,No
1403-GYAFU,70,20.05,1360.25,No
0214-JHPFW,70,57.80,4039.30,No
2521-NPUZR,70,101.00,7085.50,No
9477-LGWQI,70,80.15,5600.15,No
5671-RQRLP,70,75.65,5411.40,No
4853-RULSV,70,104.00,7250.15,Yes
4178-EGMON,70,88.00,5986.45,No
3487-EARAT,70,74.10,5222.30,No
8590-YFFQO,70,64.95,4523.25,No
1459-QNFQT,70,59.50,4144.80,No
6870-ZWMNX,70,76.10,5264.25,No
1282-IHQAC,70,44.05,3011.65,No
1299-AURJA,70,24.70,1685.90,No
6248-TKCQV,70,80.60,5460.20,No
0201-OAMXR,70,115.55,8127.60,Yes
0562-KBDVM,70,44.60,3058.15,No
3870-SPZSI,70,113.05,7869.05,No
5816-JMLGY,70,80.40,5717.85,No
5740-YHGTW,70,97.55,6669.05,No
6732-VAILE,70,85.95,5931.75,No
5504-WSIUR,70,90.25,6385.95,No
7639-OPLNG,70,79.25,5731.85,No
5804-HYIEZ,70,106.05,7554.05,No
5453-YBTWV,70,101.10,6994.80,No
4312-GVYNH,70,49.85,3370.20,No
3597-YASZG,70,104.45,7349.35,No
7176-WRTNX,70,114.95,7711.25,No
7706-YLMQA,70,19.70,1341.50,No
9067-YGSCA,70,26.05,1856.40,No
2000-DHJUY,70,92.20,6474.45,No
7055-JCGNI,70,111.95,7795.95,No
0907-HQNTS,70,113.00,7987.60,No
9481-WHGWY,70,75.35,5437.75,No
6963-EZQEE,70,88.55,6306.50,No
4550-VBOFE,70,102.95,7101.50,Yes
9844-FELAJ,70,107.90,7475.85,No
7080-TNUWP,70,95.00,6602.90,No
3181-VTHOE,70,51.05,3635.15,No
8205-VSLRB,70,77.30,5498.20,No
4806-DXQCE,70,113.65,7714.65,No
1837-YQUCE,70,58.35,4214.25,No
8174-TBVCF,70,94.80,6859.05,No
0100-DUVFC,70,104.80,7308.95,No
0326-VDYXE,70,97.65,6982.50,No
6060-QBMGV,70,19.85,1433.80,No
2368-GAKKQ,70,113.65,7939.25,No
0748-RDGGM,70,109.50,7534.65,Yes
1568-BEKZM,70,90.05,6333.40,No
2623-DRYAM,70,101.75,7069.30,No
2900-PHPLN,70,19.55,1462.05,No
5854-KSRBJ,70,25.40,1782.05,No
8285-ABVLB,70,19.85,1328.35,No
5915-ANOEI,70,79.15,5536.50,No
2987-BJXIK,70,84.70,5991.05,No
9769-TSBZE,70,66.00,4891.50,No
2126-GSEGL,70,84.80,5917.55,No
1325-USMEC,70,99.35,6944.50,No
5208-FVQKB,70,67.95,4664.15,No
6963-KQYQB,70,24.05,1764.75,No
8207-VVMYB,70,26.00,2006.95,No
4915-BFSXL,70,68.95,4858.70,No
3486-HOOGQ,70,79.70,5743.30,No
6695-AMZUF,70,86.45,5950.20,No
0707-HOVVN,70,75.50,5212.65,No
6122-LJADA,70,90.15,6237.05,No
9415-ZNBSX,70,89.00,6293.20,No
2988-GBIVW,70,90.85,6470.10,No
8242-PDSGJ,70,39.15,2692.75,No
6050-IJRHS,70,106.50,7397.00,No
5902-WBLSE,70,20.15,1411.20,No
4393-GEADV,70,114.75,7842.30,No
0394-YONDK,70,25.15,1790.15,No
2535-PBCGC,70,64.55,4504.90,No
3810-PJUHR,70,25.35,1715.15,No
7929-SKFGK,70,114.30,8244.30,No
3512-IZIKN,70,65.30,4759.75,Yes
6010-DDPPW,70,25.15,1940.85,No
6586-MYGKD,70,76.95,5289.80,No
4589-IUAJB,70,24.25,1724.15,No
8750-QWZAJ,70,19.80,1378.75,No
4654-ULTTN,70,74.80,5315.80,No
1492-KGETH,70,78.35,5445.95,No
2225-ZRGSG,70,93.90,6579.05,Yes
1576-PFZIW,70,105.35,7511.90,No
1984-FCOWB,70,109.50,7674.55,Yes
6297-NOOPG,70,110.50,7752.05,No
8707-HOEDG,70,110.20,7689.80,No
3396-DKDEL,70,115.15,8250.00,No
7136-RVDTZ,70,45.25,3264.45,Yes
9402-CXWPL,70,98.90,6838.60,No
1414-YADCW,70,84.60,5706.20,No
